course_id,course_name,campus,course_type,time_slot,capacity,current_enrollment,available_grades
C060,城市治理案例,老校区,普通选修,周四1-2节,66,51,大二|大三|大四
C061,媒体素养,双校区,普通选修,周四3-4节,72,36,大一|大二|大三|大四
C062,数字人文导论,双校区,普通选修,周四5-6节,36,21,大一|大二|大三|大四
C063,算法与社会,双校区,普通选修,周五1-2节,42,27,大二|大三|大四
C064,全球治理专题,老校区,普通选修,周五3-4节,48,34,大二|大三|大四
C065,比较政治专题,老校区,普通选修,周五5-6节,54,42,大二|大三|大四
C066,公共危机管理,老校区,普通选修,周一1-2节,60,30,大二|大三|大四
C067,法律与生活,新校区,普通选修,周一3-4节,66,38,大一|大二|大三|大四
C068,组织行为学,双校区,普通选修,周一5-6节,72,46,大二|大三|大四
C069,教育学导论,新校区,普通选修,周二1-2节,36,26,大一|大二|大三|大四
C070,认知科学导论,双校区,普通选修,周二3-4节,42,33,大一|大二|大三|大四
C071,网络舆情分析,双校区,普通选修,周二5-6节,48,24,大二|大三|大四
C072,文本挖掘入门,老校区,普通选修,周三1-2节,54,31,大二|大三|大四
C073,政策评估方法,双校区,普通选修,周三3-4节,60,38,大二|大三|大四
C074,社会网络分析,老校区,普通选修,周三5-6节,66,47,大二|大三|大四
C075,商业分析基础,双校区,普通选修,周四1-2节,72,56,大二|大三|大四
C076,数据新闻实践,新校区,普通选修,周四3-4节,36,18,大一|大二|大三|大四
C077,人工智能伦理,双校区,普通选修,周四5-6节,42,24,大一|大二|大三|大四
C078,现代性问题研究,老校区,普通选修,周五1-2节,48,31,大二|大三|大四
C079,文化产业观察,双校区,普通选修,周五3-4节,54,38,大一|大二|大三|大四
C080,创新设计工作坊,双校区,普通选修,周五5-6节,60,47,大二|大三|大四
C081,数字治理专题,双校区,普通选修,周一1-2节,66,33,大二|大三|大四
C082,平台经济观察,双校区,普通选修,周一3-4节,72,41,大二|大三|大四
C083,全球史专题,老校区,普通选修,周一5-6节,36,23,大二|大三|大四
C084,风险管理基础,双校区,普通选修,周二1-2节,42,30,大二|大三|大四
C085,财政学入门,老校区,普通选修,周二3-4节,48,37,大三|大四
C086,国际组织研究,双校区,普通选修,周二5-6节,54,27,大二|大三|大四
C087,地方治理专题,老校区,普通选修,周三1-2节,60,34,大三|大四
C088,公共演讲训练,双校区,普通选修,周三3-4节,66,42,大一|大二|大三|大四
C089,问卷设计实践,新校区,普通选修,周三5-6节,72,51,大二|大三|大四
C090,R语言入门,双校区,普通选修,周四1-2节,36,28,大一|大二|大三|大四
C091,空间数据分析,老校区,普通选修,周四3-4节,42,21,大二|大三|大四
C092,影像叙事基础,双校区,普通选修,周四5-6节,48,27,大三|大四
C093,媒介研究导论,双校区,普通选修,周五1-2节,54,35,大二|大三|大四
C094,社会分层研究,老校区,普通选修,周五3-4节,60,43,大二|大三|大四
C095,公共选择理论,双校区,普通选修,周五5-6节,66,51,大三|大四
C096,国际法基础,老校区,普通选修,周一1-2节,72,36,大二|大三|大四
C097,知识产权导论,双校区,普通选修,周一3-4节,36,21,大三|大四
C098,商业沟通实务,新校区,普通选修,周一5-6节,42,27,大二|大三|大四
C099,数据库应用实践,双校区,普通选修,周二1-2节,48,34,大一|大二|大三|大四
C100,定量研究专题,双校区,普通选修,周二3-4节,54,42,大二|大三|大四
